doi,pmid,openalex_id,label_included,method,titles,abstracts
https://doi.org/10.1042/bj1300919,https://pubmed.ncbi.nlm.nih.gov/4656804,https://openalex.org/W2401025235,0,id_retrieval_pmid,Inhibition of cellular transport processes by 5-thio-D-glucopyranose.,"5-Thio-d-glucopyranose, the nearest analogue of normal d-glucose, which is proving a useful tool in examinations of d-glucose biochemistry, affects active and facilitated-diffusion transport processes. 5-Thio-d-glucose is readily transported in rabbit kidney-cortex slices and reaches a tissue/medium ratio of 6.5 within 40min. The sulphur analogue shows typical saturation kinetics with a K(m) value of 2.4mm and V(max.) value of 70mumol/h per g of cell water. Uptake of 5-thio-d-glucose is phlorrhizin-sensitive, Na(+)-dependent and energy-dependent. d-Galactose and methyl alpha-d-glucopyranoside transport is competitively inhibited by 5-thio-d-glucose with K(i) values of 4.8 and 9.7mm respectively. 5-Thio-d-glucose thus shows all of the characteristics of active transport in kidney cortex. Transport of neutral amino acids in rat kidney cortex is inhibited by 5-thio-d-glucose. Thus 5.6mm-5-thio-d-glucose causes a 25-30% inhibition of the transport of glycine and the non-metabolized amino acids cycloleucine and alpha-aminoisobutyric acid. 5-Thio-d-glucose is freely taken up by the facilitated-diffusion transport system in rat diaphragm muscle. The sulphur analogue inhibits the transport of d-xylose in this tissue but has no effect on the uptake of d-arabinose. It is concluded that the ring heteroatom is not an effector of binding in the transport processes examined and causes no important alteration in the conformation of the sugar. The diabetogenic action produced by 5-thio-d-glucose is due, in part, to the ability of the analogue to interfere with cellular transport processes that use d-glucose."
,https://pubmed.ncbi.nlm.nih.gov/6542443,https://openalex.org/W2410512259,0,id_retrieval_pmid,[Age-related characteristics of structural support for ovarian function].,"Histoenzymological assay was used to investigate various structures of the ovaries of rats of two groups aged 3-4 and 12-14 months during estral cycle. The activity of 3 beta-, 17 beta- and 20 alpha-steroid dehydrogenases, glucose-6-phosphate dehydrogenase, NAD and NADP-diaphorases, esterase, acid and alkaline phosphatases was studied. It has been shown that transport alterations in the microcirculation including the hematofollicular barrier play, the leading part in age-dependent depression of reproductive and endocrine functions. Ageing rats demonstrated no linkage between endothelial, thecal and granular cells, which points to the injury of the histophysiological mechanisms of the follicular system integration."
,,https://openalex.org/W2418079034,0,search_title,No title,No abstract
https://doi.org/10.1111/ejn.12410,https://pubmed.ncbi.nlm.nih.gov/24188077,https://openalex.org/W2017388204,1,id_retrieval_pmid,Long-lasting marked inhibition of periaqueductal gray-evoked defensive behaviors in inescapably-shocked rats.,"Clinical evidence suggests that depression and trauma predispose the subject to panic. Accordingly, here we examined the late effects of uncontrollable stress, a presumptive model of depression and/or traumatic disorder, on panic-like behaviors evoked by electrical stimulation of the dorsal periaqueductal gray (DPAG). Changes in anxiety and depression were also assessed in the elevated plus-maze (EPM) and forced-swimming test (FST), respectively. Rats with electrodes in the DPAG were subjected to a 7-day shuttle-box one-way escape yoked training with foot-shocks either escapable (ES) or inescapable (IS). The day after the end of one-way escape training, rats were trained in a two-way escape novel task (test-session) to ascertain the effectiveness of uncontrollable stress. DPAG stimulations were carried out in an open field, both before the escape training and 2 and 7 days after it, and EPM and FST were performed on the 8th and 10th days afterwards, respectively. Controls were either trained with fictive shocks (FS) or subjected to intracranial stimulations only. Although the ES rats performed significantly better than the IS group in the two-way escape task, groups did not differ with respect to either the anxiety or depression scores. Unexpectedly, however, IS rats showed a marked attenuation of DPAG-evoked freezing and flight behaviors relative to both the ES and FS groups, 2 and 7 days after one-way escape training. The conjoint inhibition of passive (freezing) and active (flight) defensive behaviors suggests that IS inhibits a DPAG in-built motivational system that may be implicated in depressed patients' difficulties in coping with daily-life stress."
https://doi.org/10.1097/00003246-200106000-00024,https://pubmed.ncbi.nlm.nih.gov/11395604,https://openalex.org/W1995720522,0,id_retrieval_pmid,Glycine attenuates hepatocellular depression during early sepsis and reduces sepsis-induced mortality.,"To determine whether administration of glycine, a nonessential amino acid, early after the onset of polymicrobial sepsis has any beneficial effects on hepatocellular function and the survivability of septic animals and, if so, whether the beneficial effects of glycine are associated with down-regulation of proinflammatory cytokine tumor necrosis factor-alpha production. Prospective, controlled, and randomized animal study. A university research laboratory. Male adult rats were subjected to polymicrobial sepsis by cecal ligation and puncture or sham operation followed by the administration of normal saline solution. At 1 hr after cecal ligation and puncture, glycine (0.6 mmol/kg) or vehicle (normal saline solution) was administered intravenously over 15 mins. At 5 hrs after cecal ligation and puncture (i.e., early stage of sepsis), hepatocellular function (i.e., the maximal velocity and efficiency of in vivo indocyanine green clearance) was determined and hepatocyte injury was assessed by measuring plasma concentrations of alpha-gluthathione S-transferase. Serum tumor necrosis factor-alpha was measured by enzyme-linked immunosorbent assay. In additional animals, the necrotic cecum was excised at 20 hrs after cecal ligation and puncture, the peritoneal cavity was irrigated with saline, and the midline incision was closed in layers. Mortality was monitored for 10 days thereafter. The results indicate that hepatocellular function was depressed in the early stage of sepsis (i.e., 5 hrs after cecal ligation and puncture) as indicated by significant decreases in both maximal velocity and transport efficiency of in vivo indocyanine green clearance. Plasma concentrations of alpha-gluthathione S-transferase and tumor necrosis factor-alpha were elevated significantly at that interval after cecal ligation and puncture. Administration of glycine 1 hr after cecal ligation and puncture, however, increased maximal velocity and maximal efficiency by 60% and 101% (p <.05), respectively. Glycine administration in septic animals decreased alpha-gluthathione S-transferase and tumor necrosis factor-alpha by 43% and 80% (p <.05). In addition, glycine treatment decreased the mortality rate from 50% to 0% (p <.05) at 10 days after cecal ligation and puncture and cecal excision. It appears that the beneficial effect of glycine on hepatocyte function and integrity in sepsis may be mediated via down-regulation of tumor necrosis factor-alpha. Because administration of glycine attenuated hepatocellular depression and injury during early sepsis and decreased sepsis-induced mortality rates, this amino acid appears to be a useful adjunct for maintaining cellular functions and preventing lethality from polymicrobial sepsis."
https://doi.org/10.1002/ptr.1391,https://pubmed.ncbi.nlm.nih.gov/15103665,https://openalex.org/W1996157110,1,id_retrieval_pmid,Chinese medicine Banxia-houpu decoction regulates c-fos expression in the brain regions in chronic mild stress model in rats.,"Banxia-houpu decoction is a safe and effective traditional Chinese medicinal formula used in the treatment of mild and manic-depressive disorders for centuries. There has been increasing interest in its therapeutic application in depression. However, the mechanisms behind behavioural changes are still poorly understood. Chronic mild stress (CMS)-induced preference behaviour change has been used as a model to predict the clinical efficacy of many types of antidepressant treatment. Both EtOH and water extracts (AE and WE) of Banxia-houpu decoction exhibited a significantly increased sucrose intake in the CMS model in rats, but there was no effect in unstressed animals. In the present study, it was found that the c-fos expression in cerebral cortex, hippocampus and striatum corpora were very high in the CMS model in rats. WE and AE at a dose of 130 mg/kg exhibited a significantly decreased c-fos expression in the cerebral regions in CMS model in rats, respectively. The former was more potent than the latter. However, no significant changes in the c-fos expression were observed in unstressed rats treated with the decoction. Fluoxetine not only significantly reduced c-fos expression in all regions in the CMS model in rats, but only showed a marked decrease in c-fos expression in the hippocampus in unstressed animals. A different molecular mechanism of Banxia-houpu decoction and fluoxetine may be implied. The cerebral cortex, hippocampus and striatum conpora might be important structural substrates in the central nervous system mediating the section of the Banxia-houpu decoction on preference behaviour in CMS-induced rats, and fos protein might be the common substrate of the signal transduction process of the decoction."
https://doi.org/10.1007/s007020170077,https://pubmed.ncbi.nlm.nih.gov/11341483,https://openalex.org/W2006608223,1,id_retrieval_pmid,Brain monoamine receptors in a chronic unpredictable stress model in rats.,"Antidepressant drugs are devoid of mood-elevating effects in normal (non-depressed) human subjects, thus, it is necessary to evaluate the antidepressant property of compounds (drugs) in animal models of depression. Several animal models of depression have been introduced, however, only a few have been extensively validated. In the present study we report the results of investigations into monoaminergic receptors in the brain of rats subjected to chronic unpredictable stress (CUS) procedure (one of the well validated animal models of depression). We have examined the dopaminergic (D-1, D-2), adrenergic (alpha-1, beta-1) and serotonergic (5HT-1A, 5HT-2A) receptors in different brain regions by a saturation radioligand binding method in rats subjected to CUS paradigm and control animals. CUS procedure resulted in a significant 29% increase in the D-1 receptor density in the limbic system and 52% increase of the density of 5HT-2A receptors in the cerebral cortex. The present data indicate that the increase of the density of brain D-1 and 5HT-2A receptors of rats subjected to CUS might be involved in the pathophysiology of ""animal depression"" (since chronic antidepressant treatment produced opposite changes i.e. decrease in the density of these receptors) and thus in pathophysiology of human depression."
,,https://openalex.org/W2418627755,1,search_title,No title,No abstract
https://doi.org/10.1007/s00360-011-0580-4,https://pubmed.ncbi.nlm.nih.gov/21512743,https://openalex.org/W2051971541,0,id_retrieval_pmid,Seasonality of glycogen phosphorylase activity in crucian carp (Carassius carassius L.).,"Seasonal changes in the activity of glycogen phosphorylase (GP), a rate-limiting enzyme of glycogen degradation, were examined in an anoxia-tolerant fish species, the crucian carp (Carassius carassius L.). In muscle and brain, the activity of GP remained constant throughout the year when tested at 25°C. In contrast, the activities of liver and heart GP displayed striking increases in summer. When seasonal temperature changes are taken into account, the activity of GP during the anoxic mid-winter is only 4-6% of its summer time activity in the muscle, heart and liver, and 13% in brain. In winter-acclimatized fish, experimental anoxia (1-6 weeks) caused sustained depression of the GP activity in heart and gills. In liver and muscle, a transient depression of GP activity occurred during the first week of anoxia but later GP activity recovered back to the normoxic level. GP of the brain was completely resistant to anoxia. In all studied tissues, the constitutive activity of GP is more than sufficient to degrade glycogen deposits during winter anoxia without anoxia-induced activation of GP. The seemingly paradoxical summer-time increase in the activity of liver and heart GP could be related to active life-style of the summer-acclimatized fish (growth, reproduction), the increased demand of energy and molecular precursors of anabolic metabolism being satisfied by preferential degradation of glycogen. The high glycogen content of winter-acclimatized crucian carp is not associated with the elevated GP activity or anoxic activation of GP."
https://doi.org/10.1111/j.1600-0773.1980.tb02450.x,https://pubmed.ncbi.nlm.nih.gov/6768221,https://openalex.org/W1982689851,0,id_retrieval_pmid,"Effect of chronic lead on the haematology, blood glutathione and bone marrow non-haeme iron of dogs.","Ten clinically normal male beagle dogs were used in the study. Two dogs served as control, 4 received 2 mg lead/kg daily and 4 received 5 mg lead/kg/daily. Lead was administered for 13 weeks, after which one-half of each experimental group was treated with calcium ethylene diaminetetraacetate (CaEDTA) for 5 days. All animals were then monitored for another 4 weeks. Blood lead levels, haematology, blood glutathione concentration, and the number of bone marrow cells with stainable iron granules were measured weekly during the 18-week experimental period. Clinical signs of poisoning were observed only in one dog in the high dose group after 6 weeks. The signed included emaciation, anorexia, muscular weakness, evidence of abdominal pain and depression. These signs were reversed with cessation of lead dosing and CaEDTA treatment. Blood lead levels and the number of marrow cells with non-haeme iron increased in both lead-dosed groups; nucleated red blood cells increased only in high lead dosed group. There was a trend for an increased packed cell volume in all groups; however, the high lead dosed group did not increase as fast. No significant changes were observed in blood glutathione concentration and in other haematologic parameters. There were no differences in the parameters studied between the dogs treated with CaEDTA and those not so treated. Blood lead levels and the number of nucleated red blood cells decreased after cessation of lead administration and the number of marrow cells with iron also tended to decrease after lead removal."
