pmid,doi,openalex_id,label_included,titles,abstracts
https://pubmed.ncbi.nlm.nih.gov/10024334,https://doi.org/10.1161/01.hyp.33.2.713,https://openalex.org/W1972485283,0,Irbesartan reduces QT dispersion in hypertensive individuals.,"Angiotensin type 1 receptor antagonists have direct effects on the autonomic nervous system and myocardium. Because of this, we hypothesized that irbesartan would reduce QT dispersion to a greater degree than amlodipine, a highly selective vasodilator. To test this, we gathered electrocardiographic (ECG) data from a multinational, multicenter, randomized, double-blind parallel group study that compared the antihypertensive efficacy of irbesartan and amlodipine in elderly subjects with mild to moderate hypertension. Subjects were treated for 6 months with either drug. Hydrochlorothiazide and atenolol were added after 12 weeks if blood pressure (BP) remained uncontrolled. ECGs were obtained before randomization and at 6 months. A total of 188 subjects (118 with baseline ECGs) were randomized. We analyzed 104 subjects who had complete ECGs at baseline and after 6 months of treatment. Baseline characteristics between treatments were similar, apart from a slight imbalance in diastolic BP (irbesartan [n=53] versus amlodipine [n=51], 99.2 [SD 3. 6] versus 100.8 [3.8] mm Hg; P=0.03). There were no significant differences in BP normalization (diastolic BP <90 mm Hg) between treatments at 6 months (irbesartan versus amlodipine, 80% versus 88%; P=0.378). We found a significant reduction in QT indexes in the irbesartan group (QTc dispersion mean, -11.4 [34.5] milliseconds, P=0.02; QTc max, -12.8 [35.5] milliseconds, P=0.01), and QTc dispersion did not correlate with the change in BP. The reduction in QT indexes with amlodipine (QTc dispersion, -9.7 [35.4] milliseconds, P=0.06; QTc max, -8.6 [33.2] milliseconds, P=0.07) did not quite reach statistical significance, but there was a correlation between the change in QT indexes and changes in systolic BP. In conclusion, irbesartan improved QT dispersion, and this effect may be important in preventing sudden cardiac death in at-risk hypertensive subjects."
https://pubmed.ncbi.nlm.nih.gov/10029786,,https://openalex.org/W4299600072,0,Preterm labor.,"Preterm labor is the leading cause of perinatal morbidity and mortality in the United States. It is characterized by cervical effacement and/or dilatation and increased uterine irritability before 37 weeks of gestation. Women with a history of preterm labor are at greatest risk. Strategies for reducing the incidence of preterm labor and delivery have focused on educating both physicians and patients about the risks for preterm labor and methods of detecting preterm cervical dilatation. Methods used to predict preterm labor include weekly cervical assessment, transvaginal ultrasonography, detection of fetal fibronectin and home uterine activity monitoring. As yet, it is unclear if any of these strategies should be routinely employed. At present, management of preterm labor may include the use of tocolytic agents, corticosteroids and antibiotics."
https://pubmed.ncbi.nlm.nih.gov/10030325,https://doi.org/10.1016/s0140-6736(98)05012-0,https://openalex.org/W2102979143,0,Effect of angiotensin-converting-enzyme inhibition compared with conventional therapy on cardiovascular morbidity and mortality in hypertension: the Captopril Prevention Project (CAPPP) randomised trial.,"Angiotensin-converting-enzyme (ACE) inhibitors have been used for more than a decade to treat high blood pressure, despite the lack of data from randomised intervention trials to show that such treatment affects cardiovascular morbidity and mortality. The Captopril Prevention Project (CAPPP) is a randomised intervention trial to compare the effects of ACE inhibition and conventional therapy on cardiovascular morbidity and mortality in patients with hypertension. CAPPP was a prospective, randomised, open trial with blinded endpoint evaluation. 10,985 patients were enrolled at 536 health centres in Sweden and Finland. Patients aged 25-66 years with a measured diastolic blood pressure of 100 mm Hg or more on two occasions were randomly assigned captopril or conventional antihypertensive treatment (diuretics, beta-blockers). Analysis was by intention-to-treat. The primary endpoint was a composite of fatal and non-fatal myocardial infarction, stroke, and other cardiovascular deaths. Of 5492 patients assigned captopril and 5493 assigned conventional therapy, 14 and 13, respectively, were lost to follow-up. Primary endpoint events occurred in 363 patients in the captopril group (11.1 per 1000 patient-years) and 335 in the conventional-treatment group (10.2 per 1000 patient-years; relative risk 1.05 [95% CI 0.90-1.22], p=0-52). Cardiovascular mortality was lower with captopril than with conventional treatment (76 vs 95 events; relative risk 0.77 [0.57-1-04], p=0.092), the rate of fatal and non-fatal myocardial infarction was similar (162 vs 161), but fatal and non-fatal stroke was more common with captopril (189 vs 148; 1.25 [1-01-1-55]. p=0.044). Captopril and conventional treatment did not differ in efficacy in preventing cardiovascular morbidity and mortality. The difference in stroke risk is probably due to the lower levels of blood pressure obtained initially in previously treated patients randomised to conventional therapy."
https://pubmed.ncbi.nlm.nih.gov/10052772,https://doi.org/10.1902/jop.1999.70.1.63,https://openalex.org/W2017797465,0,Prevalence of gingival overgrowth induced by calcium channel blockers: a community-based study.,"The prevalence of gingival overgrowth induced by chronic medication with calcium channel blockers is uncertain. Although there have been several studies examining this question, the results are conflicting, with previous estimates ranging from 20% to 83%. There have been only 2 studies examining the prevalence of overgrowth induced by diltiazem and amlodipine, with estimates of 74% and 3.3%, respectively. The current study aimed to address the problems associated with these studies by examining a sample of patients taking one of 3 calcium channel blockers, who were drawn from a community-based population in northeastern England. Nine hundred eleven (911) subjects were recruited from general medical practices in the area. Of these, 442 were taking nifedipine, 181 amlodipine, and 186 diltiazem. In addition, 102 control subjects were examined. Drug and demographic data for each subject were recorded. The periodontal condition of all subjects was assessed including plaque index, papillary bleeding index, and a photograph of the anterior gingivae for subsequent analysis of overgrowth severity. More than six percent (6.3%) of subjects taking nifedipine were seen to have significant overgrowth. This overgrowth was statistically greater than the amount of overgrowth seen in either of the other 2 drug groups or the control population. The prevalence of gingival overgrowth induced by amlodipine or diltiazem was not statistically significant when compared to the control group. The severity of overgrowth within the nifedipine group was found to be related to the amount of gingival inflammation and also to the gender of the subject, with males being 3 times as likely to develop overgrowth than females. The prevalence of clinically significant overgrowth related to chronic medication with calcium channel blockers is low, i.e., 6.3% for nifedipine. Males are 3 times as likely as females to develop clinically significant overgrowth. The presence of gingival inflammation is an important cofactor for the expression of this effect."
https://pubmed.ncbi.nlm.nih.gov/10053176,https://doi.org/10.1056/nejm199903043400902,https://openalex.org/W1999904792,0,Effects of calcium-channel blockade in older patients with diabetes and systolic hypertension. Systolic Hypertension in Europe Trial Investigators.,"Recent reports suggest that calcium-channel blockers may be harmful in patients with diabetes and hypertension. We previously reported that antihypertensive treatment with the calcium-channel blocker nitrendipine reduced the risk of cardiovascular events. In this post hoc analysis, we compared the outcome of treatment with nitrendipine in diabetic and nondiabetic patients. After stratification according to center, sex, and presence or absence of previous cardiovascular complications, 4695 patients (age, > or =60 years) with systolic blood pressure of 160 to 219 mm Hg and diastolic pressure below 95 mm Hg were randomly assigned to receive active treatment or placebo. Active treatment consisted of nitrendipine (10 to 40 mg per day) with the possible addition or substitution of enalapril (5 to 20 mg per day) or hydrochlorothiazide (12.5 to 25 mg per day) or both, titrated to reduce the systolic blood pressure by at least 20 mm Hg and to less than 150 mm Hg. In the control group, matching placebo tablets were administered similarly. At randomization, 492 patients (10.5 percent) had diabetes. After a median follow-up of two years, the systolic and diastolic blood pressures in the placebo and active-treatment groups differed by 8.6 and 3.9 mm Hg, respectively, among the diabetic patients. Among the 4203 patients without diabetes, systolic and diastolic pressures differed by 10.3 and 4.5 mm Hg, respectively, in the two groups. After adjustment for possible confounders, active treatment was found to have reduced overall mortality by 55 percent (from 45.1 deaths per 1000 patients to 26.4 deaths per 1000 patients), mortality from cardiovascular disease by 76 percent, all cardiovascular events combined by 69 percent, fatal and nonfatal strokes by 73 percent, and all cardiac events combined by 63 percent in the group of patients with diabetes. Among the nondiabetic patients, active treatment decreased all cardiovascular events combined by 26 percent and fatal and nonfatal strokes by 38 percent. In the group of patients receiving active treatment, reductions in overall mortality, mortality from cardiovascular disease, and all cardiovascular events were significantly larger among the diabetic patients than among the nondiabetic patients (P=0.04, P=0.02, and P=0.01, respectively). Nitrendipine-based antihypertensive therapy is particularly beneficial in older patients with diabetes and isolated systolic hypertension. Thus, our findings do not support the hypothesis that the use of long-acting calcium-channel blockers may be harmful in diabetic patients."
https://pubmed.ncbi.nlm.nih.gov/10067786,,https://openalex.org/W4300047977,0,1999 World Health Organization-International Society of Hypertension Guidelines for the Management of Hypertension. Guidelines Subcommittee.,No abstract
https://pubmed.ncbi.nlm.nih.gov/10069685,https://doi.org/10.1097/00005344-199903000-00019,https://openalex.org/W2315107321,0,Long-acting lacidipine versus short-acting nifedipine in the treatment of asymptomatic acute blood pressure increase.,"We compared antihypertensive efficacy and safety of a single administration of equipotent doses of lacidipine versus nifedipine in the hypertensive urgencies. Twenty-nine asymptomatic essential hypertensive patients (nine men, 20 women) with a mean age of 55.03+/-11.19 years and baseline diastolic blood pressure (DBP) of > or =120 mm Hg after resting 30 min, not taking antihypertensive drugs for the last 24 h, were randomized in a single-blind fashion to receive lacidipine, 4 mg (LCD, 15 patients) or short-acting nifedipine, 20 mg (NFD, 14 patients) in a single dose. Blood pressure (BP) and heart rate (HR) were taken every 30 min during the first 8 h and every 2 h until 24 h of follow-up. Baseline BP values were similar in the two groups (LCD, 222.5+/-32.8/124.6+/-8.4 mm Hg vs. NFD, 215.9+/-20.6/128+/-7.7 mm Hg; p = NS). Both drugs promoted a significant reduction of systolic blood pressure (SBP; 169.6+/-27.8 vs. 170.6+/-25.3 mm Hg) and diastolic blood pressure (DBP; 104.1+/-16 vs. 102.9+/-12.4 mm Hg) after 8 h. However, either SBP (165+/-27.3 vs. 190.6+/-18.2 mm Hg; p = 0.008) and DBP (99.9+/-12.3 vs. 117.2+/-11.4 mm Hg; p = 0.001) were significantly higher in the NFD group after 24-h dosing. Eleven patients in the LCD group had a decrease in BP >25% of the baseline value both 8 and 24 h after the dose. Although 10 patients showed the same response in the NFD group 8 h after the dose, only four patients maintained these values at 24 h. One patient treated with NFD had a transient cerebrovascular ischemic attack. No adverse effects were observed in the LCD group. We conclude that the long-acting calcium antagonist lacidipine was more effective than the short-acting nifedipine in both controlling BP and maintaining this BP reduction over 8 h in essential hypertensive patients with acute asymptomatic BP increase."
https://pubmed.ncbi.nlm.nih.gov/10073852,https://doi.org/10.1016/s0002-9149(98)00904-7,https://openalex.org/W1988718127,0,"Comparison of controlled-onset, extended-release verapamil with amlodipine and amlodipine plus atenolol on exercise performance and ambulatory ischemia in patients with chronic stable angina pectoris.","This multicenter, randomized, double-blind, parallel group, placebo lead-in, placebo-controlled study compared the antianginal and anti-ischemic effects of once-daily bedtime dosing of controlled-onset extended-release (COER-24) verapamil to a once-daily morning dosing of amlodipine +/- atenolol in patients with chronic stable angina. A total of 551 patients with exercise-induced myocardial ischemia and evidence of coronary artery disease were randomized to a 4-week, forced-dose titration treatment period with (1) COER-24 verapamil 240 mg titrated to 480 mg at bedtime (n = 173), (2) amlodipine 5 mg titrated to 10 mg/day (n = 149), (3) amlodipine 5 mg (titrated to 10 mg) plus atenolol 50 mg/day in the A.M. (n = 154), or (4) placebo (n = 75). Treadmill exercise tolerance testing (standard Bruce protocol), and 48-hour ambulatory electrocardiographic (Holter) monitoring were performed at the end of placebo lead-in and double-blind treatment. Each active treatment significantly improved symptom-limited exercise duration and time to moderate angina (p < or = 0.01 vs placebo). For patients with baseline ischemia, amlodipine resulted in a statistically significant increase in total duration of ischemic episodes compared with placebo, whereas COER-24 verapamil and amlodipine plus atenolol resulted in statistically significant decreases compared with placebo and amlodipine. Heart rate at onset of ischemic episodes and ST product were also significantly increased with amlodipine (p < 0.05) compared with either COER-24 or amlodipine plus atenolol. COER-24 and amlodipine alone or in combination with atenolol improved exercise capacity in patients with angina pectoris. COER-24 verapamil monotherapy or amlodipine plus atenolol combination therapy were more effective than amlodipine monotherapy in decreasing ambulatory myocardial ischemia, especially during the hours of 6 A.M. to 12 noon."
https://pubmed.ncbi.nlm.nih.gov/10080455,https://doi.org/10.1016/s0002-9149(99)00035-1,https://openalex.org/W2463482407,0,The Fosinopril versus Amlodipine Cardiovascular Events Trial (FACET) and combination therapies.,No abstract
https://pubmed.ncbi.nlm.nih.gov/10090111,https://doi.org/10.1001/archinte.159.6.551,https://openalex.org/W2095656324,0,Diuretics and beta-blockers do not have adverse effects at 1 year on plasma lipid and lipoprotein profiles in men with hypertension. Department of Veterans Affairs Cooperative Study Group on Antihypertensive Agents.,"Concern based on the reported short-term adverse effects of antihypertensive agents on plasma lipid and lipoprotein profiles (PLPPs) has complicated the therapy for hypertension. To compare the long-term (1-year) effects of 6 different antihypertensive drugs and placebo on PLPPs in a multicenter, randomized, double-blind, parallel-group clinical trial in 15 US Veterans Affairs medical centers. A total of 1292 ambulatory men, 21 years or older, with diastolic blood pressures (DBPs) ranging from 95 to 109 mm Hg taking placebo were randomized to receive placebo or 1 of 6 antihypertensive drugs: hydrochlorothiazide, atenolol, captopril, clonidine, diltiazem, or prazosin. After drug titration, patients with a DBP of less than 90 mm Hg were followed up for 1 year. Plasma lipids and lipoprotein profiles were determined at baseline, after initial titration, and at 1 year. After 8 weeks on a regimen of hydrochlorothiazide, increases of 3.3 mg/dL (0.09 mmol/L) in total cholesterol and 2.7 mg/dL in apolipoprotein B were significantly different (P< or =.05) from decreases of 9.3 mg/dL in total cholesterol and 5.4 mg/dL in ApoB levels while receiving prazosin but not from placebo. Patients achieving positive DBP control using hydrochlorothiazide (responders) showed no adverse changes in PLPPs, whereas nonresponders exhibited increases in triglycerides, total cholesterol, and low-density lipoprotein cholesterol levels. Plasma lipids and lipoprotein profiles did not change significantly among treatment groups after 1 year except for minor decreases in high-density lipoprotein 2 levels using hydrochlorothiazide, clonidine, and atenolol. None of these 6 antihypertensive drugs has any long-term adverse effects on PLPPs and, therefore, may be safely prescribed. Previously reported short-term adverse effects from using hydrochlorothiazide are limited to nonresponders."
