Dataset,Model,WSS@85,WSS@95
Calcium,Plain Model,0.85,0.95
Calcium,Balanced Model,0.6505464480874317,0.7505464480874317
Calcium,ComplementNB,0.6942622950819672,0.7942622950819672
Virus,Plain Model,0.848719590268886,0.948719590268886
Virus,Balanced Model,0.7219590268886044,0.8219590268886043
Virus,ComplementNB,0.5887964148527529,0.6887964148527529
Depression,Plain Model,0.7546822742474916,0.8546822742474915
Depression,Balanced Model,0.5790969899665551,0.6790969899665551
Depression,ComplementNB,0.6359531772575251,0.7359531772575251
Calcium,Plain NB,0.8418032786885246,0.9418032786885245
Depression,Plain NB,0.7347117794486215,0.8347117794486215
Virus,Plain NB,0.85,0.95
